GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TechnicalTest,com.example.technicaltest.swagger,SpringFoxConfig,0,16,0,0,0,7,0,2,0,2
TechnicalTest,com.example.technicaltest.controller,UserController,0,27,0,0,0,7,0,3,0,3
TechnicalTest,com.example.technicaltest.exception,InvalidGenderException,0,4,0,0,0,2,0,1,0,1
TechnicalTest,com.example.technicaltest.exception,UserException,0,4,0,0,0,2,0,1,0,1
TechnicalTest,com.example.technicaltest.exception,InvalidUsernameException,0,4,0,0,0,2,0,1,0,1
TechnicalTest,com.example.technicaltest.exception,InvalidCountryException,0,4,0,0,0,2,0,1,0,1
TechnicalTest,com.example.technicaltest.exception,InvalidPhoneException,0,4,0,0,0,2,0,1,0,1
TechnicalTest,com.example.technicaltest.exception,InvalidBirthdateException,0,4,0,0,0,2,0,1,0,1
TechnicalTest,com.example.technicaltest.dto,UserDTO,225,50,53,1,0,7,30,14,3,14
TechnicalTest,com.example.technicaltest.model,User,0,68,0,0,0,19,0,11,0,11
TechnicalTest,com.example.technicaltest.model,Gender,0,24,0,0,0,7,0,5,0,5
TechnicalTest,com.example.technicaltest.model,Country,0,33,0,0,0,9,0,6,0,6
TechnicalTest,com.example.technicaltest.service.concretions,UserServiceImpl,0,181,0,22,0,50,0,19,0,8
TechnicalTest,com.example.technicaltest.log,LogAspect,62,0,0,0,18,0,6,0,6,0
TechnicalTest,com.example.technicaltest.log,SupervisionAspect,46,3,2,0,8,1,2,1,1,1
TechnicalTest,com.example.technicaltest.bootstrap,BootStrapData,0,58,0,0,0,15,0,3,0,3
TechnicalTest,com.example.technicaltest.mapper,MapperProducer,0,44,0,0,0,11,0,3,0,3
TechnicalTest,com.example.technicaltest.mapper,GenderStringConverter,0,10,0,2,0,4,0,3,0,2
TechnicalTest,com.example.technicaltest.mapper,StringCountryConverter,0,13,0,2,0,4,0,3,0,2
TechnicalTest,com.example.technicaltest.mapper,StringGenderConverter,0,12,0,2,0,4,0,3,0,2
TechnicalTest,com.example.technicaltest.mapper,CountryStringConverter,0,10,0,2,0,4,0,3,0,2
TechnicalTest,com.example.technicaltest,TechnicalTestApplication,31,14,6,0,2,4,7,3,4,3
TechnicalTest,com.example.technicaltest.response,ResponseHandler,7,27,0,0,2,5,1,1,1,1
TechnicalTest,com.example.technicaltest.response,RestResponseEntityExceptionHandler,12,3,0,0,2,1,2,1,2,1
